author,sloc,McCab,Hv,Hd,He,loc_add,loc_remove,nfunctions,commit_age,num_commits,commitdate,class
4,80,6,859.188,15.2564,13108.1,226,0,0,0,0,1335511499,1
4,33,0,532.71,7.25,3862.15,106,0,0,0,0,1335511500,1
2,138,10,1210.91,23.4024,28338.3,312,0,1,0,0,1335782851,1
2,29,0,372.235,6,2233.41,102,0,0,0,0,1335782852,1
2,68,5,686.482,15.1724,10415.6,72,14,0,2,1,1335964754,1
2,23,0,230.753,6,1384.52,4,1,0,2,1,1335964754,1
2,68,5,686.482,15.1724,10415.6,1,1,0,3,2,1336031808,1
2,23,0,230.753,6,1384.52,1,1,0,3,2,1336031808,1
2,112,6,1312.19,24.4737,32114.1,98,18,0,11,3,1336732235,1
2,26,0,202.119,5.77778,1167.8,10,5,0,11,3,1336732235,1
2,112,5,1335.62,24.7368,33039,9,1,0,21,4,1337596719,1
2,26,0,202.119,5.77778,1167.8,1,1,0,21,4,1337596719,1
3,68,5,597.25,14.6875,8772.12,25,11,0,109,5,1345193879,1
3,23,0,162.848,5.86667,955.376,11,16,0,109,5,1345193879,1
3,114,6,1303.73,31.871,41551.2,261,0,1,0,0,1345794860,1
3,31,0,235,7.27273,1709.09,102,0,0,0,0,1345794860,1
3,110,6,1257.69,29.3226,36878.9,23,29,1,0,1,1345807273,1
3,32,0,267.353,7.6087,2034.21,3,2,0,0,1,1345807273,1
3,133,7,1714.87,37.625,64522,297,0,1,0,0,1345807807,1
3,37,0,294.686,7.5,2210.14,108,0,0,0,0,1345807807,1
3,68,5,597.25,14.6875,8772.12,1,1,0,116,6,1345809130,1
3,23,0,162.848,5.86667,955.376,1,1,0,116,6,1345809130,1
3,110,6,1257.69,29.3226,36878.9,1,1,1,3,2,1346067302,1
3,32,0,267.353,7.6087,2034.21,1,1,0,3,2,1346067302,1
3,133,7,1714.87,37.625,64522,1,1,1,3,1,1346067663,1
3,37,0,294.686,7.5,2210.14,1,1,0,3,1,1346067663,1
3,68,5,597.25,14.6875,8772.12,1,1,0,119,7,1346067874,1
3,23,0,162.848,5.86667,955.376,1,1,0,119,7,1346067874,1
3,127,6,1437.37,34.8387,50076,22,2,1,4,3,1346144135,1
3,32,0,277.442,7.82609,2171.28,2,2,0,4,3,1346144135,1
3,160,7,2006.51,46.375,93052.1,35,3,1,4,2,1346150010,1
